INFO 2026-02-26 21:33:23,824 autoreload Watching for file changes with StatReloader
WARNING 2026-02-26 23:55:10,580 log Bad Request: /api/auth/login/
WARNING 2026-02-26 23:55:10,709 log Bad Request: /api/auth/login/
WARNING 2026-02-26 23:55:10,718 log Bad Request: /api/auth/login/
WARNING 2026-02-26 23:55:10,725 log Bad Request: /api/auth/login/
WARNING 2026-02-26 23:55:10,753 log Bad Request: /api/auth/login/
WARNING 2026-02-26 23:55:10,760 log Bad Request: /api/auth/login/
WARNING 2026-02-26 23:55:10,786 log Bad Request: /api/auth/login/
WARNING 2026-02-26 23:55:10,793 log Bad Request: /api/auth/login/
WARNING 2026-02-26 23:55:10,818 log Bad Request: /api/auth/login/
WARNING 2026-02-26 23:55:10,825 log Bad Request: /api/auth/login/
WARNING 2026-02-26 23:55:10,848 log Bad Request: /api/auth/login/
WARNING 2026-02-26 23:55:10,855 log Bad Request: /api/auth/login/
WARNING 2026-02-26 23:55:10,878 log Bad Request: /api/auth/login/
WARNING 2026-02-26 23:55:10,885 log Bad Request: /api/auth/login/
WARNING 2026-02-26 23:55:10,912 log Unauthorized: /api/accounts/
WARNING 2026-02-26 23:55:10,919 log Bad Request: /api/auth/login/
WARNING 2026-02-26 23:55:10,925 log Bad Request: /api/auth/login/
WARNING 2026-02-26 23:55:10,953 log Unauthorized: /api/accounts/
WARNING 2026-02-26 23:55:10,959 log Bad Request: /api/auth/login/
WARNING 2026-02-26 23:55:10,967 log Bad Request: /api/auth/login/
WARNING 2026-02-26 23:55:10,986 log Unauthorized: /api/accounts/
WARNING 2026-02-26 23:55:10,992 log Bad Request: /api/auth/login/
WARNING 2026-02-26 23:55:10,999 log Bad Request: /api/auth/login/
WARNING 2026-02-26 23:55:11,023 log Bad Request: /api/auth/login/
WARNING 2026-02-26 23:55:11,030 log Bad Request: /api/auth/login/
WARNING 2026-02-26 23:55:11,054 log Bad Request: /api/auth/login/
WARNING 2026-02-26 23:55:11,061 log Bad Request: /api/auth/login/
WARNING 2026-02-26 23:55:11,086 log Bad Request: /api/auth/login/
WARNING 2026-02-26 23:55:11,092 log Bad Request: /api/auth/login/
WARNING 2026-02-26 23:55:11,121 log Unauthorized: /api/accounts/
WARNING 2026-02-26 23:55:11,127 log Bad Request: /api/auth/login/
WARNING 2026-02-26 23:55:11,137 log Bad Request: /api/auth/login/
WARNING 2026-02-26 23:55:11,143 log Bad Request: /api/auth/login/
WARNING 2026-02-26 23:55:11,152 log Bad Request: /api/auth/login/
WARNING 2026-02-26 23:55:11,159 log Bad Request: /api/auth/login/
WARNING 2026-02-26 23:55:11,169 log Bad Request: /api/auth/login/
WARNING 2026-02-26 23:55:11,175 log Bad Request: /api/auth/login/
WARNING 2026-02-26 23:55:11,186 log Bad Request: /api/auth/login/
WARNING 2026-02-26 23:55:11,192 log Bad Request: /api/auth/login/
WARNING 2026-02-26 23:55:11,201 log Bad Request: /api/auth/login/
WARNING 2026-02-26 23:55:11,208 log Bad Request: /api/auth/login/
WARNING 2026-02-26 23:55:11,218 log Bad Request: /api/auth/login/
WARNING 2026-02-26 23:55:11,223 log Unauthorized: /api/accounts/
WARNING 2026-02-26 23:55:11,231 log Unauthorized: /api/transactions/
WARNING 2026-02-26 23:55:11,237 log Unauthorized: /api/users/me/
WARNING 2026-02-26 23:55:11,248 log Not Found: /api/admin/
WARNING 2026-02-26 23:55:11,254 log Unauthorized: /api/accounts/
WARNING 2026-02-26 23:55:11,260 log Unauthorized: /api/accounts/
WARNING 2026-02-26 23:55:11,270 log Not Found: /etc/passwd
WARNING 2026-02-26 23:55:11,281 log Not Found: /api/../../../etc/passwd
WARNING 2026-02-26 23:55:11,290 log Not Found: /etc/passwd
